Date,Area,Operation_Cost_KES,Revenue_Collection_KES,Bill_Collection_Rate
2023-01-16,Parklands,56682.86,58012.73,0.75
2023-01-17,Westlands,42729.87,49115.31,0.84
2023-01-17,Eastleigh,42006.4,46689.2,0.83
2023-01-17,Karen,52797.47,61067.0,0.98
2023-01-17,Kilimani,44089.25,43380.32,0.88
2023-01-17,Kibera,54933.56,56146.49,0.79
2023-01-17,South B,51721.83,62916.58,0.81
2023-01-17,Kahawa,50435.33,49505.08,0.84
2023-01-17,Parklands,49431.76,59337.4,0.81
2023-01-18,Westlands,53432.05,56362.02,0.85
2023-01-18,Eastleigh,60386.61,73765.35,0.95
2023-01-18,Karen,51987.86,56736.07,0.86
2023-01-18,Kilimani,52330.24,59149.16,0.81
2023-01-18,Kibera,46242.2,49305.43,0.9
2023-01-18,South B,55895.19,73330.19,0.87
2023-01-18,Kahawa,46057.85,49460.25,0.84
2023-01-18,Parklands,57531.24,66312.87,0.78
2023-01-19,Westlands,49715.78,50180.82,0.88
2023-01-19,Eastleigh,46465.96,49498.78,0.76
2023-01-19,Karen,53784.09,63656.88,0.82
2023-01-19,Kilimani,49189.93,52822.36,0.84
2023-01-19,Kibera,45901.72,47438.68,0.92
2023-01-19,South B,36801.42,41871.46,0.86
2023-01-19,Kahawa,58269.59,63492.59,0.83
2023-01-19,Parklands,45957.69,51845.41,0.81
2023-01-20,Westlands,44356.07,46888.34,0.8
2023-01-20,Eastleigh,44970.22,49941.45,0.84
2023-01-20,Karen,52747.96,58791.29,0.79
2023-01-20,Kilimani,39387.25,40818.96,0.89
2023-01-20,Kibera,53705.55,62782.0,0.89
2023-01-20,South B,55435.73,62720.57,0.94
2023-01-20,Kahawa,51468.25,63560.83,0.82
2023-01-20,Parklands,46740.3,51063.55,0.85
2023-01-21,Westlands,48393.78,55172.7,0.84
2023-01-21,Eastleigh,46964.12,50686.41,0.91
2023-01-21,Karen,51585.83,51381.65,0.93
2023-01-21,Kilimani,52167.54,59812.36,0.9
2023-01-21,Kibera,54903.66,57388.47,0.8
2023-01-21,South B,61982.01,65677.68,0.87
2023-01-21,Kahawa,58157.32,62587.29,0.83
2023-01-21,Parklands,54632.32,61124.65,0.87
2023-01-22,Westlands,49597.87,53108.71,0.83
2023-01-22,Eastleigh,55969.88,60771.24,0.87
2023-01-22,Karen,45156.0,55885.88,0.87
2023-01-22,Kilimani,51698.06,60239.0,0.83
2023-01-22,Kibera,55968.74,56329.19,0.82
2023-01-22,South B,45993.86,45200.98,0.82
2023-01-22,Kahawa,49740.24,51439.13,0.79
2023-01-22,Parklands,50205.38,55215.9,0.84
2023-01-23,Westlands,43669.34,47134.73,0.82
2023-01-23,Eastleigh,50429.39,53892.68,0.85
2023-01-23,Karen,43445.91,44063.06,0.88
2023-01-23,Kilimani,53826.76,58104.53,0.85
2023-01-23,Kibera,47751.43,56170.95,0.84
2023-01-23,South B,47505.62,55477.51,0.81
2023-01-23,Kahawa,50783.08,52654.41,0.88
2023-01-23,Parklands,54077.09,55225.42,0.78
2023-01-24,Westlands,51442.71,63333.86,0.89
2023-01-24,Eastleigh,48938.33,51359.33,0.79
2023-01-24,Karen,53585.37,62425.9,0.82
2023-01-24,Kilimani,48766.36,54035.67,0.94
2023-01-24,Kibera,50325.77,52401.11,0.79
2023-01-24,South B,45443.88,53949.22,0.88
2023-01-24,Kahawa,48272.53,44162.4,0.81
2023-01-24,Parklands,51719.85,58334.34,0.87
2023-01-25,Westlands,43263.48,48303.89,0.8
2023-01-25,Eastleigh,50009.46,52764.71,0.9
2023-01-25,Karen,51687.23,56633.18,0.92
2023-01-25,Kilimani,48137.54,48764.3,0.9
2023-01-25,Kibera,51261.05,55581.64,0.82
2023-01-25,South B,52553.92,60851.46,0.81
2023-01-25,Kahawa,52826.7,59234.02,0.81
2023-01-25,Parklands,50019.29,53494.01,0.91
2023-01-26,Westlands,46755.41,56250.35,0.86
2023-01-26,Eastleigh,41272.43,39776.2,0.84
2023-01-26,Karen,56668.13,67151.18,0.86
2023-01-26,Kilimani,46314.66,49921.44,0.86
2023-01-26,Kibera,55436.53,63308.41,0.9
2023-01-26,South B,53218.37,62054.09,0.74
2023-01-26,Kahawa,45537.21,47048.46,0.79
2023-01-26,Parklands,50027.85,50574.5,0.8
2023-01-27,Westlands,49506.47,49544.37,0.83
2023-01-27,Eastleigh,53194.22,54542.57,0.89
2023-01-27,Karen,45969.13,51607.58,0.79
2023-01-27,Kilimani,52266.8,56723.44,0.87
2023-01-27,Kibera,47274.0,53946.44,0.89
2023-01-27,South B,50598.63,54334.31,0.84
2023-01-27,Kahawa,43678.68,48841.05,0.88
2023-01-27,Parklands,57831.35,68821.62,0.8
2023-01-28,Westlands,51060.54,55980.52,0.91
2023-01-28,Eastleigh,46454.14,53983.2,0.8
2023-01-28,Karen,49470.09,51820.26,0.75
2023-01-28,Kilimani,45477.91,49491.87,0.92
2023-01-28,Kibera,44563.24,47487.82,0.78
2023-01-28,South B,55776.4,59963.53,0.83
2023-01-28,Kahawa,48261.33,47209.85,0.78
2023-01-28,Parklands,45241.09,51802.91,0.73
2023-01-29,Westlands,52706.53,59416.15,0.76
2023-01-29,Eastleigh,48415.14,57161.38,0.8
2023-01-29,Karen,47240.12,60678.45,0.87
2023-01-29,Kilimani,48710.03,52314.14,0.87
2023-01-29,Kibera,53424.54,51548.03,0.74
2023-01-29,South B,45009.76,49285.7,0.85
2023-01-29,Kahawa,41482.71,45286.22,0.85
2023-01-29,Parklands,45750.76,48965.13,0.81
2023-01-30,Westlands,52321.5,57838.62,0.79
2023-01-30,Eastleigh,54775.23,55658.54,0.76
2023-01-30,Karen,48774.25,53102.26,0.85
2023-01-30,Kilimani,44093.39,51282.83,0.94
2023-01-30,Kibera,49891.76,56155.2,0.74
2023-01-30,South B,47825.55,50683.62,0.81
2023-01-30,Kahawa,46712.5,49923.91,0.78
2023-01-30,Parklands,47563.66,49337.34,0.89
2023-01-31,Westlands,51651.65,58188.71,0.9
2023-01-31,Eastleigh,45868.6,51489.17,0.9
2023-01-31,Karen,45519.19,44294.9,0.82
2023-01-31,Kilimani,54782.6,57141.02,0.83
2023-01-31,Kibera,46101.52,50371.77,0.8
2023-01-31,South B,42584.38,45835.48,0.84
2023-01-31,Kahawa,55582.41,61657.96,0.79
2023-01-31,Parklands,46341.59,53356.64,0.83
2023-02-01,Westlands,44534.47,49448.91,0.81
2023-02-01,Eastleigh,52390.72,59127.79,0.79
2023-02-01,Karen,58924.84,64641.04,0.72
2023-02-01,Kilimani,51902.77,48586.82,0.9
2023-02-01,Kibera,50285.31,55087.47,0.85
2023-02-01,South B,52508.72,56093.23,0.85
2023-02-01,Kahawa,50166.87,45762.86,0.88
2023-02-01,Parklands,53390.51,60271.64,0.86
2023-02-02,Westlands,57557.26,63117.95,0.85
2023-02-02,Eastleigh,46314.25,45160.19,0.87
2023-02-02,Karen,46854.05,45653.31,0.84
2023-02-02,Kilimani,49059.3,53205.5,0.85
2023-02-02,Kibera,41770.17,48619.0,0.87
2023-02-02,South B,55788.85,59327.31,0.87
2023-02-02,Kahawa,40231.75,42054.37,0.78
2023-02-02,Parklands,50874.39,52282.94,0.82
2023-02-03,Westlands,49555.22,53172.3,0.78
2023-02-03,Eastleigh,57805.54,63989.32,0.93
2023-02-03,Karen,44415.98,47749.61,0.85
2023-02-03,Kilimani,57237.45,69062.55,0.82
2023-02-03,Kibera,45927.21,50479.8,0.91
2023-02-03,South B,50254.37,56293.15,0.91
2023-02-03,Kahawa,54724.1,63968.41,0.88
2023-02-03,Parklands,56760.48,58237.49,0.96
2023-02-04,Westlands,55301.8,60532.24,0.91
2023-02-04,Eastleigh,48262.77,54819.92,0.88
2023-02-04,Karen,54310.76,58390.64,0.89
2023-02-04,Kilimani,47790.49,55079.18,0.85
2023-02-04,Kibera,40880.2,43214.9,0.89
2023-02-04,South B,48481.75,57396.6,0.79
2023-02-04,Kahawa,53480.69,58930.93,0.84
2023-02-04,Parklands,44108.47,49342.0,0.8
2023-02-05,Westlands,46819.7,51307.67,0.83
2023-02-05,Eastleigh,55138.95,51645.35,0.84
2023-02-05,Karen,48186.11,53218.99,0.82
2023-02-05,Kilimani,55119.41,59983.62,0.86
2023-02-05,Kibera,54461.28,60363.8,0.79
2023-02-05,South B,47867.08,52506.95,0.77
2023-02-05,Kahawa,46440.95,51111.18,0.95
2023-02-05,Parklands,51855.51,57832.01,0.93
2023-02-06,Westlands,52939.24,61006.03,0.83
2023-02-06,Eastleigh,43672.63,49001.0,0.94
2023-02-06,Karen,57565.16,66070.97,0.82
2023-02-06,Kilimani,42246.83,44424.82,0.86
2023-02-06,Kibera,47644.94,55750.95,0.78
2023-02-06,South B,49356.21,52078.95,0.9
2023-02-06,Kahawa,52713.05,55400.61,0.89
2023-02-06,Parklands,41886.18,41420.32,0.81
2023-02-07,Westlands,40085.49,44001.18,0.85
2023-02-07,Eastleigh,47972.48,54690.05,0.81
2023-02-07,Karen,43511.82,45825.78,0.79
2023-02-07,Kilimani,46941.22,53688.6,0.76
2023-02-07,Kibera,48301.55,56379.76,0.9
2023-02-07,South B,46589.87,58184.21,0.8
2023-02-07,Kahawa,48857.65,50271.16,0.87
2023-02-07,Parklands,64006.1,78397.44,0.89
2023-02-08,Westlands,46962.55,51380.99,0.91
2023-02-08,Eastleigh,53747.53,59680.7,0.86
2023-02-08,Karen,55278.5,65765.93,0.77
2023-02-08,Kilimani,51135.15,58426.06,0.82
2023-02-08,Kibera,56395.1,61258.96,0.92
2023-02-08,South B,48158.29,54026.83,0.86
2023-02-08,Kahawa,58313.13,67244.65,0.83
2023-02-08,Parklands,48638.73,52872.68,0.85
2023-02-09,Westlands,45277.24,49791.99,0.92
2023-02-09,Eastleigh,56618.25,56804.22,0.76
2023-02-09,Karen,47034.34,46533.81,0.79
2023-02-09,Kilimani,51756.04,57062.99,0.76
2023-02-09,Kibera,55850.16,60182.6,0.82
2023-02-09,South B,55082.78,62337.58,0.85
2023-02-09,Kahawa,47527.06,54277.11,0.83
2023-02-09,Parklands,48858.16,50251.98,0.91
2023-02-10,Westlands,57762.98,64623.66,0.83
2023-02-10,Eastleigh,54677.25,62510.44,0.83
2023-02-10,Karen,55755.72,60071.78,0.79
2023-02-10,Kilimani,49671.04,58387.43,0.86
2023-02-10,Kibera,44136.83,47614.67,0.91
2023-02-10,South B,51369.12,56699.84,0.84
2023-02-10,Kahawa,55399.39,64870.1,0.78
2023-02-10,Parklands,54699.64,62279.23,0.93
2023-02-11,Westlands,49654.34,58532.05,0.87
2023-02-11,Eastleigh,44430.51,52043.18,0.89
2023-02-11,Karen,46750.37,52538.92,0.96
2023-02-11,Kilimani,47584.81,54827.26,0.8
2023-02-11,Kibera,47148.46,54583.14,0.86
2023-02-11,South B,48993.81,59559.93,0.8
2023-02-11,Kahawa,49270.1,56018.39,0.81
2023-02-11,Parklands,52546.15,61734.05,0.84
2023-02-12,Westlands,46573.7,50518.09,0.72
2023-02-12,Eastleigh,55030.62,61755.27,0.84
2023-02-12,Karen,41666.05,49044.59,0.83
2023-02-12,Kilimani,52826.22,58333.85,0.77
2023-02-12,Kibera,56342.72,66208.77,0.89
2023-02-12,South B,51574.24,52975.19,0.89
2023-02-12,Kahawa,61024.99,67893.29,0.86
2023-02-12,Parklands,44490.8,43174.94,0.83
2023-02-13,Westlands,57408.34,68450.51,0.85
2023-02-13,Eastleigh,52150.65,53496.47,0.86
2023-02-13,Karen,47377.84,52520.88,0.84
2023-02-13,Kilimani,48537.47,56777.48,0.95
2023-02-13,Kibera,49152.72,58846.18,0.79
2023-02-13,South B,49538.81,50566.61,0.83
2023-02-13,Kahawa,53578.49,63099.99,0.81
2023-02-13,Parklands,52290.33,61961.41,0.9
2023-02-14,Westlands,51294.79,54716.3,0.82
2023-02-14,Eastleigh,45786.75,50500.28,0.81
2023-02-14,Karen,53390.2,59788.58,0.86
2023-02-14,Kilimani,40797.62,45155.04,0.83
2023-02-14,Kibera,60832.09,62158.44,0.84
2023-02-14,South B,51915.49,54084.19,0.95
2023-02-14,Kahawa,59743.94,62683.51,0.82
2023-02-14,Parklands,60734.06,72619.27,0.83
2023-02-15,Westlands,52157.18,52932.37,0.96
2023-02-15,Eastleigh,50364.31,57569.58,0.8
2023-02-15,Karen,44319.55,50272.59,0.95
2023-02-15,Kilimani,47297.61,49253.76,0.87
2023-02-15,Kibera,58185.97,61880.29,0.84
2023-02-15,South B,54185.62,63201.41,0.84
2023-02-15,Kahawa,55483.23,63215.93,0.85
2023-02-15,Parklands,54512.28,62945.29,0.8
2023-02-16,Westlands,57417.56,64735.48,0.92
2023-02-16,Eastleigh,50258.97,56345.16,0.87
2023-02-16,Karen,52734.25,63509.59,0.87
2023-02-16,Kilimani,49860.05,58367.16,0.87
2023-02-16,Kibera,64777.67,72806.35,0.91
2023-02-16,South B,54410.41,52873.68,0.81
2023-02-16,Kahawa,47802.88,48162.48,0.83
2023-02-16,Parklands,43144.07,44563.7,0.86
2023-02-17,Westlands,59596.99,60577.74,0.79
2023-02-17,Eastleigh,47336.3,51853.77,0.77
2023-02-17,Karen,46504.58,48995.16,0.87
2023-02-17,Kilimani,52128.14,57083.99,0.83
2023-02-17,Kibera,46451.5,51484.64,0.8
2023-02-17,South B,57736.19,58177.09,0.82
2023-02-17,Kahawa,54341.01,58638.76,0.88
2023-02-17,Parklands,58585.97,67910.03,0.79
2023-02-18,Westlands,44228.86,48334.14,0.87
2023-02-18,Eastleigh,56030.68,59054.98,0.83
2023-02-18,Karen,48746.75,53007.38,0.92
2023-02-18,Kilimani,49479.76,55167.39,0.9
2023-02-18,Kibera,57955.44,63908.17,0.91
2023-02-18,South B,59138.85,64924.28,0.82
2023-02-18,Kahawa,60935.34,71773.93,0.85
2023-02-18,Parklands,53249.81,55224.13,0.91
2023-02-19,Westlands,40999.85,48158.08,0.81
2023-02-19,Eastleigh,41730.61,40683.61,0.83
2023-02-19,Karen,53555.57,54340.53,0.79
2023-02-19,Kilimani,47528.9,55014.27,0.9
2023-02-19,Kibera,50699.35,59263.44,0.88
2023-02-19,South B,47915.06,55778.8,0.79
2023-02-19,Kahawa,52432.43,53963.93,0.86
2023-02-19,Parklands,56092.84,62759.91,0.85
2023-02-20,Westlands,51130.16,58703.3,0.96
2023-02-20,Eastleigh,53262.2,57115.01,0.84
2023-02-20,Karen,45494.37,46606.68,0.73
2023-02-20,Kilimani,47691.99,48345.92,0.85
2023-02-20,Kibera,47452.63,49086.95,0.74
2023-02-20,South B,48253.31,47823.61,0.89
2023-02-20,Kahawa,51274.49,55902.43,0.92
2023-02-20,Parklands,50049.13,56560.29,0.88
2023-02-21,Westlands,47415.59,50818.42,0.85
2023-02-21,Eastleigh,43267.37,52831.43,0.86
2023-02-21,Karen,48995.29,60781.56,0.79
2023-02-21,Kilimani,57680.75,66786.47,0.91
2023-02-21,Kibera,49122.25,54458.46,0.83
2023-02-21,South B,54981.71,62154.78,0.82
2023-02-21,Kahawa,47437.21,52372.44,0.83
2023-02-21,Parklands,57208.86,66221.2,0.89
2023-02-22,Westlands,51169.59,53793.42,0.88
2023-02-22,Eastleigh,39509.09,44104.53,0.81
2023-02-22,Karen,45554.42,48965.68,0.85
2023-02-22,Kilimani,49882.92,57682.89,0.84
2023-02-22,Kibera,49491.33,50198.32,0.79
2023-02-22,South B,51435.35,58944.57,0.84
2023-02-22,Kahawa,54664.79,55402.06,0.87
2023-02-22,Parklands,45741.11,47776.65,0.81
2023-02-23,Westlands,49596.17,56218.66,0.87
2023-02-23,Eastleigh,48547.59,55640.26,0.93
2023-02-23,Karen,49402.94,54894.66,0.82
2023-02-23,Kilimani,48040.21,56982.54,0.91
2023-02-23,Kibera,48994.66,55700.38,0.9
2023-02-23,South B,47767.41,48728.3,0.88
2023-02-23,Kahawa,54481.94,62855.98,0.83
2023-02-23,Parklands,57615.55,64729.76,0.79
2023-02-24,Westlands,42019.56,45619.9,0.86
2023-02-24,Eastleigh,48560.27,59951.61,0.87
2023-02-24,Karen,45134.26,43212.79,0.86
2023-02-24,Kilimani,54944.77,67370.25,0.84
2023-02-24,Kibera,58610.0,59587.01,0.83
2023-02-24,South B,44928.01,51958.64,0.78
2023-02-24,Kahawa,52008.75,53271.58,0.94
2023-02-24,Parklands,48128.72,54364.65,0.76
2023-02-25,Westlands,42525.99,44853.4,0.89
2023-02-25,Eastleigh,53295.45,62651.49,0.77
2023-02-25,Karen,52534.35,56138.55,0.81
2023-02-25,Kilimani,47313.86,51923.63,0.88
2023-02-25,Kibera,55614.03,63337.13,0.88
2023-02-25,South B,59115.25,68000.85,0.84
2023-02-25,Kahawa,52905.52,64332.96,0.81
2023-02-25,Parklands,47845.32,57378.89,0.84
2023-02-26,Westlands,53821.45,63982.44,0.79
2023-02-26,Eastleigh,47957.89,56748.8,0.84
2023-02-26,Karen,39907.04,42774.44,0.89
2023-02-26,Kilimani,56382.47,62488.97,0.87
2023-02-26,Kibera,48154.7,56037.96,0.92
2023-02-26,South B,53841.0,59080.76,0.87
2023-02-26,Kahawa,54762.44,60611.1,0.89
2023-02-26,Parklands,51851.54,62079.69,0.89
2023-02-27,Westlands,47507.21,56832.5,0.87
2023-02-27,Eastleigh,49301.32,50138.94,0.86
2023-02-27,Karen,59174.44,54889.66,0.72
2023-02-27,Kilimani,53836.7,60316.01,0.88
2023-02-27,Kibera,47368.07,45747.35,0.81
2023-02-27,South B,57800.03,62172.41,0.83
2023-02-27,Kahawa,36853.0,36400.03,0.91
2023-02-27,Parklands,48702.86,56954.49,0.81
2023-02-28,Westlands,42661.09,46416.97,0.82
2023-02-28,Eastleigh,45834.55,48242.9,0.84
2023-02-28,Karen,47542.16,49653.15,0.94
2023-02-28,Kilimani,52289.78,58318.86,0.85
2023-02-28,Kibera,53328.07,60770.99,0.8
2023-02-28,South B,42338.65,40525.9,0.94
2023-02-28,Kahawa,47773.45,54628.17,0.86
2023-02-28,Parklands,54562.79,60063.0,0.78
2023-03-01,Westlands,44814.42,48498.19,0.77
2023-03-01,Eastleigh,45728.36,46966.53,0.83
2023-03-01,Karen,47519.84,52878.48,0.89
2023-03-01,Kilimani,48786.92,49145.18,0.75
2023-03-01,Kibera,50811.59,53948.83,0.84
2023-03-01,South B,51647.71,61915.61,0.76
2023-03-01,Kahawa,44937.71,49407.21,0.79
2023-03-01,Parklands,42554.72,50645.33,0.8
2023-03-02,Westlands,43454.07,44773.79,0.9
2023-03-02,Eastleigh,46523.09,47217.91,0.81
2023-03-02,Karen,49759.15,57868.15,0.89
2023-03-02,Kilimani,46111.15,49360.93,0.96
2023-03-02,Kibera,54978.42,59851.4,0.74
2023-03-02,South B,47705.86,48601.28,0.81
2023-03-02,Kahawa,45173.34,49237.65,0.85
2023-03-02,Parklands,46342.1,47359.26,0.84
2023-03-03,Westlands,47508.61,46637.3,0.88
2023-03-03,Eastleigh,46355.76,50411.23,0.84
2023-03-03,Karen,49922.8,55638.6,0.78
2023-03-03,Kilimani,51561.79,55822.41,0.9
2023-03-03,Kibera,54074.9,64402.1,0.8
2023-03-03,South B,56433.33,62703.91,0.88
2023-03-03,Kahawa,53371.9,60568.5,0.8
2023-03-03,Parklands,54775.4,61778.94,0.78
2023-03-04,Westlands,47581.6,48825.84,0.78
2023-03-04,Eastleigh,54266.62,54746.38,0.78
2023-03-04,Karen,59891.11,64436.1,0.88
2023-03-04,Kilimani,55624.16,64263.92,0.86
2023-03-04,Kibera,49813.68,56784.83,0.84
2023-03-04,South B,53474.43,58189.15,0.84
2023-03-04,Kahawa,59408.8,63791.66,0.85
2023-03-04,Parklands,52152.81,59306.18,0.86
2023-03-05,Westlands,43748.05,48802.38,0.86
2023-03-05,Eastleigh,55699.8,64224.69,0.91
2023-03-05,Karen,44983.97,46794.97,0.87
2023-03-05,Kilimani,55664.26,60783.8,0.81
2023-03-05,Kibera,41992.66,47392.79,0.84
2023-03-05,South B,47830.27,55666.65,0.85
2023-03-05,Kahawa,50004.43,58179.75,0.96
2023-03-05,Parklands,47777.69,50073.14,0.8
2023-03-06,Westlands,52384.12,54171.27,0.83
2023-03-06,Eastleigh,48573.6,58587.82,0.91
2023-03-06,Karen,42316.42,51118.81,0.79
2023-03-06,Kilimani,50801.46,53379.87,0.83
2023-03-06,Kibera,45097.96,54744.81,0.84
2023-03-06,South B,51127.95,52932.87,0.78
2023-03-06,Kahawa,47779.28,54415.58,0.84
2023-03-06,Parklands,54872.7,61077.21,0.85
2023-03-07,Westlands,52675.56,58549.91,0.9
2023-03-07,Eastleigh,52776.05,61442.55,0.89
2023-03-07,Karen,56801.35,65825.99,0.94
2023-03-07,Kilimani,47294.07,54826.17,0.78
2023-03-07,Kibera,54735.37,60683.4,0.9
2023-03-07,South B,58397.56,67570.13,0.83
2023-03-07,Kahawa,44560.14,50791.46,0.84
2023-03-07,Parklands,53318.0,57160.19,0.8
2023-03-08,Westlands,48791.3,55503.12,0.86
2023-03-08,Eastleigh,45934.57,56133.58,0.84
2023-03-08,Karen,38690.88,45098.06,0.85
2023-03-08,Kilimani,49147.39,53699.64,0.84
