Date,Pipeline_Segment,Pressure_PSI,Flow_Rate_M3_hr,Maintenace_Status
2023-01-05,Pipeline_8,51.04,121.76,Good
2023-01-05,Pipeline_9,58.32,122.87,Good
2023-01-05,Pipeline_10,52.49,132.95,Under Repair
2023-01-05,Pipeline_11,53.29,121.29,Good
2023-01-05,Pipeline_12,49.04,130.98,Good
2023-01-05,Pipeline_13,60.32,113.14,Good
2023-01-05,Pipeline_14,61.48,104.33,Under Repair
2023-01-05,Pipeline_15,57.19,128.92,Good
2023-01-05,Pipeline_16,70.49,105.51,Needs Inspection
2023-01-05,Pipeline_17,59.4,96.43,Good
2023-01-05,Pipeline_18,51.01,87.95,Good
2023-01-05,Pipeline_19,59.92,124.81,Good
2023-01-05,Pipeline_20,60.38,97.31,Good
2023-01-06,Pipeline_1,56.74,107.01,Good
2023-01-06,Pipeline_2,50.22,138.29,Needs Inspection
2023-01-06,Pipeline_3,62.37,127.6,Good
2023-01-06,Pipeline_4,60.45,151.29,Needs Inspection
2023-01-06,Pipeline_5,58.11,102.76,Good
2023-01-06,Pipeline_6,65.19,137.68,Good
2023-01-06,Pipeline_7,64.9,140.87,Good
2023-01-06,Pipeline_8,57.93,97.29,Good
2023-01-06,Pipeline_9,68.71,110.88,Good
2023-01-06,Pipeline_10,54.92,136.68,Good
2023-01-06,Pipeline_11,62.63,117.65,Good
2023-01-06,Pipeline_12,67.25,128.95,Needs Inspection
2023-01-06,Pipeline_13,50.05,106.72,Good
2023-01-06,Pipeline_14,65.73,100.31,Needs Inspection
2023-01-06,Pipeline_15,60.85,104.4,Needs Inspection
2023-01-06,Pipeline_16,59.93,105.82,Needs Inspection
2023-01-06,Pipeline_17,60.17,134.11,Good
2023-01-06,Pipeline_18,60.99,106.45,Good
2023-01-06,Pipeline_19,62.12,111.82,Good
2023-01-06,Pipeline_20,62.42,113.42,Good
2023-01-07,Pipeline_1,60.31,136.8,Good
2023-01-07,Pipeline_2,69.67,134.58,Good
2023-01-07,Pipeline_3,58.77,122.46,Good
2023-01-07,Pipeline_4,59.99,112.29,Needs Inspection
2023-01-07,Pipeline_5,60.19,106.97,Good
2023-01-07,Pipeline_6,56.1,128.79,Good
2023-01-07,Pipeline_7,73.13,118.61,Good
2023-01-07,Pipeline_8,57.71,114.95,Good
2023-01-07,Pipeline_9,62.42,107.2,Good
2023-01-07,Pipeline_10,59.56,120.73,Under Repair
2023-01-07,Pipeline_11,58.62,121.64,Good
2023-01-07,Pipeline_12,60.73,108.66,Needs Inspection
2023-01-07,Pipeline_13,70.61,137.04,Good
2023-01-07,Pipeline_14,61.8,122.1,Good
2023-01-07,Pipeline_15,55.89,139.4,Good
2023-01-07,Pipeline_16,62.66,112.58,Good
2023-01-07,Pipeline_17,55.98,93.0,Under Repair
2023-01-07,Pipeline_18,52.91,99.22,Good
2023-01-07,Pipeline_19,54.66,108.68,Good
2023-01-07,Pipeline_20,59.57,120.57,Good
2023-01-08,Pipeline_1,53.84,108.86,Good
2023-01-08,Pipeline_2,63.93,96.8,Good
2023-01-08,Pipeline_3,56.46,107.12,Good
2023-01-08,Pipeline_4,60.76,111.54,Good
2023-01-08,Pipeline_5,61.92,103.29,Under Repair
2023-01-08,Pipeline_6,59.91,107.97,Good
2023-01-08,Pipeline_7,57.85,137.14,Good
2023-01-08,Pipeline_8,56.07,119.81,Good
2023-01-08,Pipeline_9,44.95,106.77,Good
2023-01-08,Pipeline_10,54.46,112.75,Good
2023-01-08,Pipeline_11,62.39,101.5,Good
2023-01-08,Pipeline_12,62.65,150.83,Good
2023-01-08,Pipeline_13,55.72,146.35,Good
2023-01-08,Pipeline_14,61.52,145.8,Needs Inspection
2023-01-08,Pipeline_15,60.62,139.22,Good
2023-01-08,Pipeline_16,50.26,133.32,Good
2023-01-08,Pipeline_17,66.6,140.11,Good
2023-01-08,Pipeline_18,56.47,124.86,Good
2023-01-08,Pipeline_19,53.85,146.22,Good
2023-01-08,Pipeline_20,58.92,116.05,Good
2023-01-09,Pipeline_1,51.28,120.08,Good
2023-01-09,Pipeline_2,60.82,107.05,Needs Inspection
2023-01-09,Pipeline_3,63.79,126.68,Good
2023-01-09,Pipeline_4,54.56,114.54,Good
2023-01-09,Pipeline_5,61.32,121.26,Good
2023-01-09,Pipeline_6,59.8,124.39,Needs Inspection
2023-01-09,Pipeline_7,58.51,116.56,Good
2023-01-09,Pipeline_8,52.66,104.47,Good
2023-01-09,Pipeline_9,64.02,92.32,Good
2023-01-09,Pipeline_10,56.58,135.53,Good
2023-01-09,Pipeline_11,54.01,127.03,Good
2023-01-09,Pipeline_12,62.56,96.19,Good
2023-01-09,Pipeline_13,64.69,103.62,Needs Inspection
2023-01-09,Pipeline_14,59.51,111.92,Good
2023-01-09,Pipeline_15,58.48,120.82,Good
2023-01-09,Pipeline_16,60.54,109.74,Good
2023-01-09,Pipeline_17,57.68,105.83,Good
2023-01-09,Pipeline_18,57.58,127.61,Good
2023-01-09,Pipeline_19,62.85,127.33,Good
2023-01-09,Pipeline_20,64.45,111.72,Good
2023-01-10,Pipeline_1,58.11,122.68,Good
2023-01-10,Pipeline_2,61.55,122.05,Good
2023-01-10,Pipeline_3,60.85,138.85,Good
2023-01-10,Pipeline_4,65.9,134.83,Good
2023-01-10,Pipeline_5,59.24,127.63,Good
2023-01-10,Pipeline_6,63.64,125.77,Good
2023-01-10,Pipeline_7,57.52,134.63,Good
2023-01-10,Pipeline_8,61.01,111.57,Good
2023-01-10,Pipeline_9,69.9,118.64,Needs Inspection
2023-01-10,Pipeline_10,67.06,81.53,Good
2023-01-10,Pipeline_11,53.11,105.56,Good
2023-01-10,Pipeline_12,58.9,130.4,Needs Inspection
2023-01-10,Pipeline_13,65.53,116.41,Good
2023-01-10,Pipeline_14,57.49,91.91,Good
2023-01-10,Pipeline_15,55.59,104.88,Good
2023-01-10,Pipeline_16,65.69,97.48,Good
2023-01-10,Pipeline_17,56.61,86.54,Good
2023-01-10,Pipeline_18,67.5,109.32,Good
2023-01-10,Pipeline_19,57.76,102.71,Good
2023-01-10,Pipeline_20,62.23,121.81,Needs Inspection
2023-01-11,Pipeline_1,62.68,83.2,Good
2023-01-11,Pipeline_2,55.58,103.93,Good
2023-01-11,Pipeline_3,70.04,120.41,Good
2023-01-11,Pipeline_4,57.01,136.21,Good
2023-01-11,Pipeline_5,61.93,122.82,Good
2023-01-11,Pipeline_6,63.64,132.03,Good
2023-01-11,Pipeline_7,63.83,130.36,Good
2023-01-11,Pipeline_8,67.95,123.38,Good
2023-01-11,Pipeline_9,65.41,111.24,Good
2023-01-11,Pipeline_10,63.88,105.74,Good
2023-01-11,Pipeline_11,60.78,107.16,Needs Inspection
2023-01-11,Pipeline_12,65.71,120.31,Good
2023-01-11,Pipeline_13,61.64,126.89,Good
2023-01-11,Pipeline_14,57.27,106.47,Good
2023-01-11,Pipeline_15,56.64,127.05,Good
2023-01-11,Pipeline_16,61.84,130.14,Needs Inspection
2023-01-11,Pipeline_17,58.55,104.47,Good
2023-01-11,Pipeline_18,56.14,116.58,Good
2023-01-11,Pipeline_19,57.52,118.09,Good
2023-01-11,Pipeline_20,63.77,127.76,Good
2023-01-12,Pipeline_1,49.94,148.16,Good
2023-01-12,Pipeline_2,62.66,145.92,Needs Inspection
2023-01-12,Pipeline_3,55.54,113.43,Good
2023-01-12,Pipeline_4,56.77,129.62,Good
2023-01-12,Pipeline_5,55.35,122.93,Good
2023-01-12,Pipeline_6,60.06,131.54,Good
2023-01-12,Pipeline_7,60.0,130.06,Good
2023-01-12,Pipeline_8,63.33,123.52,Good
2023-01-12,Pipeline_9,54.41,115.3,Good
2023-01-12,Pipeline_10,63.37,120.92,Good
2023-01-12,Pipeline_11,64.88,122.55,Good
2023-01-12,Pipeline_12,65.71,131.61,Good
2023-01-12,Pipeline_13,60.05,101.06,Good
2023-01-12,Pipeline_14,65.82,120.11,Good
2023-01-12,Pipeline_15,57.81,138.36,Good
2023-01-12,Pipeline_16,66.7,126.48,Good
2023-01-12,Pipeline_17,60.69,129.8,Good
2023-01-12,Pipeline_18,61.0,139.67,Good
2023-01-12,Pipeline_19,58.08,156.65,Needs Inspection
2023-01-12,Pipeline_20,55.24,110.11,Needs Inspection
2023-01-13,Pipeline_1,62.24,107.33,Good
2023-01-13,Pipeline_2,69.89,137.33,Good
2023-01-13,Pipeline_3,53.72,90.6,Good
2023-01-13,Pipeline_4,55.75,117.07,Needs Inspection
2023-01-13,Pipeline_5,51.04,105.66,Good
2023-01-13,Pipeline_6,58.84,117.54,Good
2023-01-13,Pipeline_7,57.82,112.79,Good
2023-01-13,Pipeline_8,67.31,141.08,Good
2023-01-13,Pipeline_9,59.49,125.08,Good
2023-01-13,Pipeline_10,62.02,113.66,Good
2023-01-13,Pipeline_11,59.46,89.24,Good
2023-01-13,Pipeline_12,55.39,122.07,Good
2023-01-13,Pipeline_13,67.53,148.36,Good
2023-01-13,Pipeline_14,56.8,108.38,Good
2023-01-13,Pipeline_15,58.54,145.72,Good
2023-01-13,Pipeline_16,53.95,116.74,Good
2023-01-13,Pipeline_17,59.67,100.97,Good
2023-01-13,Pipeline_18,56.8,121.37,Good
2023-01-13,Pipeline_19,56.08,137.46,Good
2023-01-13,Pipeline_20,59.74,131.65,Under Repair
2023-01-14,Pipeline_1,62.44,108.01,Good
2023-01-14,Pipeline_2,56.63,113.95,Needs Inspection
2023-01-14,Pipeline_3,64.21,117.74,Good
2023-01-14,Pipeline_4,58.08,109.41,Good
2023-01-14,Pipeline_5,58.22,136.06,Needs Inspection
2023-01-14,Pipeline_6,64.02,104.06,Good
2023-01-14,Pipeline_7,57.8,118.04,Needs Inspection
2023-01-14,Pipeline_8,55.4,132.07,Good
2023-01-14,Pipeline_9,61.34,140.5,Good
2023-01-14,Pipeline_10,57.75,140.8,Good
2023-01-14,Pipeline_11,58.89,141.28,Good
2023-01-14,Pipeline_12,52.79,115.24,Good
2023-01-14,Pipeline_13,62.41,143.52,Good
2023-01-14,Pipeline_14,74.97,112.87,Good
2023-01-14,Pipeline_15,52.63,107.02,Good
2023-01-14,Pipeline_16,53.48,120.03,Good
2023-01-14,Pipeline_17,52.5,107.97,Under Repair
2023-01-14,Pipeline_18,61.04,110.74,Good
2023-01-14,Pipeline_19,65.98,114.53,Good
2023-01-14,Pipeline_20,57.9,107.69,Good
2023-01-15,Pipeline_1,51.77,100.06,Good
2023-01-15,Pipeline_2,55.03,132.32,Good
2023-01-15,Pipeline_3,45.29,111.19,Good
2023-01-15,Pipeline_4,60.15,103.27,Good
2023-01-15,Pipeline_5,59.76,120.84,Good
2023-01-15,Pipeline_6,61.48,119.52,Good
2023-01-15,Pipeline_7,52.72,118.88,Good
2023-01-15,Pipeline_8,52.13,128.35,Good
2023-01-15,Pipeline_9,62.5,142.4,Good
2023-01-15,Pipeline_10,64.03,101.01,Good
2023-01-15,Pipeline_11,64.85,100.64,Good
2023-01-15,Pipeline_12,65.16,110.73,Good
2023-01-15,Pipeline_13,64.24,114.88,Good
2023-01-15,Pipeline_14,59.68,153.06,Good
2023-01-15,Pipeline_15,57.65,131.93,Good
2023-01-15,Pipeline_16,60.1,120.36,Good
2023-01-15,Pipeline_17,62.79,105.0,Good
2023-01-15,Pipeline_18,55.92,117.75,Good
2023-01-15,Pipeline_19,60.37,115.92,Good
2023-01-15,Pipeline_20,53.45,119.22,Good
2023-01-16,Pipeline_1,58.2,90.98,Good
2023-01-16,Pipeline_2,57.71,146.32,Good
2023-01-16,Pipeline_3,62.18,127.86,Under Repair
2023-01-16,Pipeline_4,63.8,116.41,Good
2023-01-16,Pipeline_5,55.31,84.0,Good
2023-01-16,Pipeline_6,54.48,126.29,Needs Inspection
2023-01-16,Pipeline_7,64.49,121.72,Good
2023-01-16,Pipeline_8,53.98,146.8,Good
2023-01-16,Pipeline_9,55.83,131.17,Good
2023-01-16,Pipeline_10,60.99,148.24,Good
2023-01-16,Pipeline_11,45.47,102.77,Good
2023-01-16,Pipeline_12,67.27,129.39,Needs Inspection
2023-01-16,Pipeline_13,50.25,108.89,Good
2023-01-16,Pipeline_14,57.35,116.99,Good
2023-01-16,Pipeline_15,58.25,139.49,Good
2023-01-16,Pipeline_16,58.19,128.79,Good
2023-01-16,Pipeline_17,55.8,108.93,Good
2023-01-16,Pipeline_18,54.37,123.73,Good
2023-01-16,Pipeline_19,58.43,110.03,Good
2023-01-16,Pipeline_20,61.21,117.22,Good
2023-01-17,Pipeline_1,54.44,110.02,Good
2023-01-17,Pipeline_2,58.97,113.6,Needs Inspection
2023-01-17,Pipeline_3,63.73,125.62,Good
2023-01-17,Pipeline_4,52.35,116.24,Good
2023-01-17,Pipeline_5,59.89,119.19,Good
2023-01-17,Pipeline_6,55.25,103.72,Good
2023-01-17,Pipeline_7,67.02,112.62,Good
2023-01-17,Pipeline_8,61.95,104.21,Good
2023-01-17,Pipeline_9,60.8,117.64,Good
2023-01-17,Pipeline_10,54.45,92.13,Good
2023-01-17,Pipeline_11,49.55,136.18,Good
2023-01-17,Pipeline_12,58.58,129.02,Good
2023-01-17,Pipeline_13,55.9,90.99,Good
2023-01-17,Pipeline_14,64.15,133.25,Good
2023-01-17,Pipeline_15,60.08,135.04,Good
2023-01-17,Pipeline_16,58.39,124.18,Good
2023-01-17,Pipeline_17,68.42,117.51,Good
2023-01-17,Pipeline_18,66.45,151.61,Good
2023-01-17,Pipeline_19,63.8,125.31,Needs Inspection
2023-01-17,Pipeline_20,54.78,116.03,Good
2023-01-18,Pipeline_1,55.05,122.23,Good
2023-01-18,Pipeline_2,65.83,137.27,Good
2023-01-18,Pipeline_3,51.11,120.38,Good
2023-01-18,Pipeline_4,61.58,129.87,Good
2023-01-18,Pipeline_5,55.07,104.78,Needs Inspection
2023-01-18,Pipeline_6,53.22,128.79,Good
2023-01-18,Pipeline_7,54.76,130.37,Good
2023-01-18,Pipeline_8,59.76,118.33,Good
2023-01-18,Pipeline_9,57.93,112.16,Needs Inspection
2023-01-18,Pipeline_10,59.94,150.79,Good
2023-01-18,Pipeline_11,64.35,92.18,Good
2023-01-18,Pipeline_12,47.28,112.35,Good
2023-01-18,Pipeline_13,66.96,114.66,Good
2023-01-18,Pipeline_14,58.23,110.01,Good
2023-01-18,Pipeline_15,67.55,147.13,Needs Inspection
2023-01-18,Pipeline_16,62.25,125.47,Needs Inspection
2023-01-18,Pipeline_17,57.04,136.01,Good
2023-01-18,Pipeline_18,68.89,130.09,Good
2023-01-18,Pipeline_19,52.87,154.21,Good
2023-01-18,Pipeline_20,62.39,130.66,Good
2023-01-19,Pipeline_1,58.47,132.0,Good
2023-01-19,Pipeline_2,54.35,127.21,Good
2023-01-19,Pipeline_3,59.59,100.49,Good
2023-01-19,Pipeline_4,52.22,136.98,Good
2023-01-19,Pipeline_5,51.29,141.01,Under Repair
2023-01-19,Pipeline_6,60.63,109.51,Under Repair
2023-01-19,Pipeline_7,65.47,133.07,Good
2023-01-19,Pipeline_8,53.78,105.23,Good
2023-01-19,Pipeline_9,54.44,98.03,Good
2023-01-19,Pipeline_10,61.97,128.77,Good
2023-01-19,Pipeline_11,63.87,132.95,Good
2023-01-19,Pipeline_12,53.78,105.9,Good
2023-01-19,Pipeline_13,60.46,127.79,Needs Inspection
2023-01-19,Pipeline_14,61.85,134.94,Needs Inspection
2023-01-19,Pipeline_15,52.69,127.6,Good
2023-01-19,Pipeline_16,64.41,121.82,Good
2023-01-19,Pipeline_17,66.9,128.01,Good
2023-01-19,Pipeline_18,58.49,107.07,Good
2023-01-19,Pipeline_19,57.18,111.53,Good
2023-01-19,Pipeline_20,67.84,133.86,Good
2023-01-20,Pipeline_1,63.1,120.66,Needs Inspection
2023-01-20,Pipeline_2,59.42,127.13,Needs Inspection
2023-01-20,Pipeline_3,56.38,137.85,Good
2023-01-20,Pipeline_4,55.94,126.11,Good
2023-01-20,Pipeline_5,70.11,120.06,Needs Inspection
2023-01-20,Pipeline_6,68.52,133.91,Good
2023-01-20,Pipeline_7,56.96,147.45,Needs Inspection
2023-01-20,Pipeline_8,56.54,84.82,Good
2023-01-20,Pipeline_9,58.53,89.54,Good
2023-01-20,Pipeline_10,59.92,134.53,Good
2023-01-20,Pipeline_11,64.03,88.45,Good
2023-01-20,Pipeline_12,61.19,128.19,Good
2023-01-20,Pipeline_13,63.48,99.15,Good
2023-01-20,Pipeline_14,60.54,136.94,Good
2023-01-20,Pipeline_15,56.65,132.79,Needs Inspection
2023-01-20,Pipeline_16,55.94,128.26,Good
2023-01-20,Pipeline_17,66.14,123.05,Good
2023-01-20,Pipeline_18,61.95,126.47,Good
2023-01-20,Pipeline_19,58.19,121.73,Good
2023-01-20,Pipeline_20,56.6,113.1,Good
2023-01-21,Pipeline_1,66.61,107.43,Good
2023-01-21,Pipeline_2,60.28,109.46,Good
2023-01-21,Pipeline_3,60.15,142.29,Good
2023-01-21,Pipeline_4,53.31,97.92,Good
2023-01-21,Pipeline_5,54.03,120.26,Good
2023-01-21,Pipeline_6,57.52,115.82,Good
2023-01-21,Pipeline_7,58.4,118.52,Good
2023-01-21,Pipeline_8,54.05,103.42,Good
2023-01-21,Pipeline_9,58.08,126.44,Good
2023-01-21,Pipeline_10,65.84,127.71,Under Repair
2023-01-21,Pipeline_11,63.77,128.07,Good
2023-01-21,Pipeline_12,54.18,134.95,Good
2023-01-21,Pipeline_13,53.84,119.41,Good
2023-01-21,Pipeline_14,63.44,127.29,Good
2023-01-21,Pipeline_15,69.53,115.26,Good
2023-01-21,Pipeline_16,68.73,158.9,Good
2023-01-21,Pipeline_17,54.97,150.59,Good
2023-01-21,Pipeline_18,56.59,125.02,Good
2023-01-21,Pipeline_19,57.41,123.82,Good
2023-01-21,Pipeline_20,60.09,97.02,Needs Inspection
2023-01-22,Pipeline_1,50.87,145.72,Good
2023-01-22,Pipeline_2,61.13,104.26,Good
2023-01-22,Pipeline_3,63.26,116.85,Good
2023-01-22,Pipeline_4,71.99,139.44,Good
2023-01-22,Pipeline_5,49.55,115.69,Needs Inspection
2023-01-22,Pipeline_6,67.38,81.7,Good
2023-01-22,Pipeline_7,70.71,122.56,Good
2023-01-22,Pipeline_8,58.62,134.42,Good
2023-01-22,Pipeline_9,64.09,101.54,Good
2023-01-22,Pipeline_10,52.72,135.53,Good
2023-01-22,Pipeline_11,51.34,99.64,Good
2023-01-22,Pipeline_12,55.44,130.8,Needs Inspection
2023-01-22,Pipeline_13,64.12,116.54,Good
2023-01-22,Pipeline_14,60.04,116.11,Good
2023-01-22,Pipeline_15,58.42,113.22,Good
2023-01-22,Pipeline_16,59.94,111.73,Good
2023-01-22,Pipeline_17,59.72,120.34,Good
2023-01-22,Pipeline_18,64.42,119.99,Good
2023-01-22,Pipeline_19,62.48,105.44,Good
2023-01-22,Pipeline_20,64.6,120.13,Good
2023-01-23,Pipeline_1,49.23,107.41,Good
2023-01-23,Pipeline_2,65.72,114.2,Good
2023-01-23,Pipeline_3,58.1,129.09,Good
2023-01-23,Pipeline_4,61.23,95.71,Good
2023-01-23,Pipeline_5,61.31,131.66,Needs Inspection
2023-01-23,Pipeline_6,60.94,126.95,Good
2023-01-23,Pipeline_7,60.88,134.88,Good
2023-01-23,Pipeline_8,55.8,88.96,Needs Inspection
2023-01-23,Pipeline_9,64.16,125.29,Good
2023-01-23,Pipeline_10,65.57,105.46,Good
2023-01-23,Pipeline_11,66.41,114.23,Good
2023-01-23,Pipeline_12,57.28,130.83,Good
2023-01-23,Pipeline_13,61.07,98.88,Good
2023-01-23,Pipeline_14,54.55,122.53,Good
2023-01-23,Pipeline_15,63.37,148.86,Good
2023-01-23,Pipeline_16,63.44,120.25,Needs Inspection
2023-01-23,Pipeline_17,53.11,100.48,Good
2023-01-23,Pipeline_18,58.58,111.23,Good
2023-01-23,Pipeline_19,63.1,101.41,Good
2023-01-23,Pipeline_20,57.06,117.83,Good
2023-01-24,Pipeline_1,55.5,109.2,Needs Inspection
2023-01-24,Pipeline_2,63.03,143.55,Good
2023-01-24,Pipeline_3,60.65,128.63,Good
2023-01-24,Pipeline_4,61.47,102.37,Good
2023-01-24,Pipeline_5,61.06,131.66,Good
2023-01-24,Pipeline_6,60.0,116.75,Good
2023-01-24,Pipeline_7,55.72,142.52,Under Repair
2023-01-24,Pipeline_8,65.97,139.08,Needs Inspection
2023-01-24,Pipeline_9,57.84,125.96,Good
2023-01-24,Pipeline_10,61.24,107.9,Good
2023-01-24,Pipeline_11,67.35,135.95,Good
2023-01-24,Pipeline_12,64.14,112.4,Good
2023-01-24,Pipeline_13,61.61,119.9,Good
2023-01-24,Pipeline_14,69.87,124.55,Good
2023-01-24,Pipeline_15,65.7,111.74,Good
2023-01-24,Pipeline_16,71.56,118.22,Good
2023-01-24,Pipeline_17,63.26,126.1,Good
2023-01-24,Pipeline_18,65.15,133.75,Good
2023-01-24,Pipeline_19,64.97,102.1,Good
2023-01-24,Pipeline_20,65.39,116.95,Good
2023-01-25,Pipeline_1,54.2,129.85,Good
2023-01-25,Pipeline_2,68.18,113.06,Good
2023-01-25,Pipeline_3,58.73,111.8,Good
2023-01-25,Pipeline_4,64.46,133.0,Good
2023-01-25,Pipeline_5,58.23,110.19,Good
2023-01-25,Pipeline_6,56.99,127.93,Good
2023-01-25,Pipeline_7,60.93,121.02,Under Repair
2023-01-25,Pipeline_8,64.19,131.96,Needs Inspection
2023-01-25,Pipeline_9,59.63,129.14,Good
2023-01-25,Pipeline_10,70.23,112.41,Good
2023-01-25,Pipeline_11,59.37,136.12,Good
2023-01-25,Pipeline_12,63.63,105.93,Good
2023-01-25,Pipeline_13,52.09,108.5,Good
2023-01-25,Pipeline_14,50.7,137.57,Good
2023-01-25,Pipeline_15,63.03,109.68,Good
2023-01-25,Pipeline_16,53.84,108.27,Good
2023-01-25,Pipeline_17,69.71,84.23,Under Repair
2023-01-25,Pipeline_18,61.1,132.16,Good
2023-01-25,Pipeline_19,56.12,123.18,Good
2023-01-25,Pipeline_20,65.56,114.57,Needs Inspection
2023-01-26,Pipeline_1,54.41,84.73,Good
2023-01-26,Pipeline_2,53.91,116.32,Good
2023-01-26,Pipeline_3,57.55,114.22,Good
2023-01-26,Pipeline_4,63.75,147.72,Good
2023-01-26,Pipeline_5,59.68,104.71,Good
2023-01-26,Pipeline_6,61.55,117.88,Under Repair
2023-01-26,Pipeline_7,49.74,138.91,Good
2023-01-26,Pipeline_8,53.85,119.42,Good
2023-01-26,Pipeline_9,62.81,133.22,Good
2023-01-26,Pipeline_10,59.63,94.31,Good
2023-01-26,Pipeline_11,58.95,107.62,Needs Inspection
2023-01-26,Pipeline_12,59.63,133.33,Good
2023-01-26,Pipeline_13,57.83,102.88,Good
2023-01-26,Pipeline_14,61.22,111.18,Good
2023-01-26,Pipeline_15,64.81,109.2,Good
2023-01-26,Pipeline_16,55.37,119.69,Needs Inspection
2023-01-26,Pipeline_17,54.13,131.74,Good
2023-01-26,Pipeline_18,68.61,101.87,Good
2023-01-26,Pipeline_19,68.64,118.4,Good
2023-01-26,Pipeline_20,56.84,93.48,Good
2023-01-27,Pipeline_1,54.45,128.27,Good
